datetime,height,temperature
2022-06-20T03:30:00+03:00,350,11.58
2022-06-20T03:30:00+03:00,400,11.22
2022-06-20T03:30:00+03:00,450,10.86
2022-06-20T03:30:00+03:00,500,10.5
2022-06-20T03:30:00+03:00,550,10.14
2022-06-20T03:30:00+03:00,600,9.77
2022-06-20T03:35:00+03:00,0,14.58
2022-06-20T03:35:00+03:00,50,14.44
2022-06-20T03:35:00+03:00,100,14.05
2022-06-20T03:35:00+03:00,150,13.56
2022-06-20T03:35:00+03:00,200,13.08
2022-06-20T03:35:00+03:00,250,12.56
2022-06-20T03:35:00+03:00,300,12.14
2022-06-20T03:35:00+03:00,350,11.75
2022-06-20T03:35:00+03:00,400,11.38
2022-06-20T03:35:00+03:00,450,11.02
2022-06-20T03:35:00+03:00,500,10.64
2022-06-20T03:35:00+03:00,550,10.25
2022-06-20T03:35:00+03:00,600,9.87
2022-06-20T03:40:00+03:00,0,14.6
2022-06-20T03:40:00+03:00,50,14.39
2022-06-20T03:40:00+03:00,100,13.95
2022-06-20T03:40:00+03:00,150,13.56
2022-06-20T03:40:00+03:00,200,13.05
2022-06-20T03:40:00+03:00,250,12.56
2022-06-20T03:40:00+03:00,300,12.17
2022-06-20T03:40:00+03:00,350,11.8
2022-06-20T03:40:00+03:00,400,11.44
2022-06-20T03:40:00+03:00,450,11.09
2022-06-20T03:40:00+03:00,500,10.71
2022-06-20T03:40:00+03:00,550,10.33
2022-06-20T03:40:00+03:00,600,9.94
2022-06-20T03:45:00+03:00,0,14.46
2022-06-20T03:45:00+03:00,50,14.39
2022-06-20T03:45:00+03:00,100,13.99
2022-06-20T03:45:00+03:00,150,13.51
2022-06-20T03:45:00+03:00,200,13.05
2022-06-20T03:45:00+03:00,250,12.63
2022-06-20T03:45:00+03:00,300,12.16
2022-06-20T03:45:00+03:00,350,11.74
2022-06-20T03:45:00+03:00,400,11.38
2022-06-20T03:45:00+03:00,450,11.02
2022-06-20T03:45:00+03:00,500,10.65
2022-06-20T03:45:00+03:00,550,10.27
2022-06-20T03:45:00+03:00,600,9.89
2022-06-20T03:50:00+03:00,0,14.37
2022-06-20T03:50:00+03:00,50,14.42
2022-06-20T03:50:00+03:00,100,14.02
2022-06-20T03:50:00+03:00,150,13.52
2022-06-20T03:50:00+03:00,200,13.04
2022-06-20T03:50:00+03:00,250,12.58
2022-06-20T03:50:00+03:00,300,12.13
2022-06-20T03:50:00+03:00,350,11.72
2022-06-20T03:50:00+03:00,400,11.35
2022-06-20T03:50:00+03:00,450,10.99
2022-06-20T03:50:00+03:00,500,10.62
2022-06-20T03:50:00+03:00,550,10.25
2022-06-20T03:50:00+03:00,600,9.88
2022-06-20T03:55:00+03:00,0,14.46
2022-06-20T03:55:00+03:00,50,14.29
2022-06-20T03:55:00+03:00,100,13.92
2022-06-20T03:55:00+03:00,150,13.51
2022-06-20T03:55:00+03:00,200,13.06
2022-06-20T03:55:00+03:00,250,12.59
2022-06-20T03:55:00+03:00,300,12.14
2022-06-20T03:55:00+03:00,350,11.74
2022-06-20T03:55:00+03:00,400,11.37
2022-06-20T03:55:00+03:00,450,11.0
2022-06-20T03:55:00+03:00,500,10.6
2022-06-20T03:55:00+03:00,550,10.19
2022-06-20T03:55:00+03:00,600,9.78
2022-06-20T04:00:00+03:00,0,14.47
2022-06-20T04:00:00+03:00,50,14.32
2022-06-20T04:00:00+03:00,100,13.95
2022-06-20T04:00:00+03:00,150,13.46
2022-06-20T04:00:00+03:00,200,13.02
2022-06-20T04:00:00+03:00,250,12.56
2022-06-20T04:00:00+03:00,300,12.11
2022-06-20T04:00:00+03:00,350,11.7
2022-06-20T04:00:00+03:00,400,11.34
2022-06-20T04:00:00+03:00,450,10.98
2022-06-20T04:00:00+03:00,500,10.6
2022-06-20T04:00:00+03:00,550,10.21
2022-06-20T04:00:00+03:00,600,9.82
2022-06-20T04:05:00+03:00,0,14.33
