[2022-07-19 17:34:56,437] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-08-25.json
[2022-07-19 17:34:56,437] INFO: Trying to get data on 01.09.2012
[2022-07-19 17:35:04,681] INFO: Extracted data for stations in cities: Ангарск — 1; Иркутск — 2; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 1; Шелехов — 1
[2022-07-19 17:35:09,698] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-09-01.json
[2022-07-19 17:35:09,698] INFO: Trying to get data on 08.09.2012
[2022-07-19 17:35:17,968] INFO: Extracted data for stations in cities: Ангарск — 1; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:35:22,986] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-09-08.json
[2022-07-19 17:35:22,986] INFO: Trying to get data on 15.09.2012
[2022-07-19 17:35:31,323] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:35:36,341] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-09-15.json
[2022-07-19 17:35:36,341] INFO: Trying to get data on 22.09.2012
[2022-07-19 17:35:44,744] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:35:49,763] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-09-22.json
[2022-07-19 17:35:49,763] INFO: Trying to get data on 29.09.2012
[2022-07-19 17:35:58,011] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:36:03,029] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-09-29.json
[2022-07-19 17:36:03,030] INFO: Trying to get data on 06.10.2012
[2022-07-19 17:36:12,637] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:36:17,659] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-10-06.json
[2022-07-19 17:36:17,659] INFO: Trying to get data on 13.10.2012
[2022-07-19 17:36:26,303] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:36:31,326] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-10-13.json
[2022-07-19 17:36:31,326] INFO: Trying to get data on 20.10.2012
[2022-07-19 17:36:42,833] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 1; Шелехов — 1
[2022-07-19 17:36:47,858] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-10-20.json
[2022-07-19 17:36:47,858] INFO: Trying to get data on 27.10.2012
[2022-07-19 17:36:56,483] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:37:01,509] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-10-27.json
[2022-07-19 17:37:01,510] INFO: Trying to get data on 03.11.2012
[2022-07-19 17:37:16,517] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:37:21,538] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-11-03.json
[2022-07-19 17:37:21,538] INFO: Trying to get data on 10.11.2012
[2022-07-19 17:37:29,864] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:37:34,885] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-11-10.json
[2022-07-19 17:37:34,885] INFO: Trying to get data on 17.11.2012
[2022-07-19 17:37:46,649] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:37:51,671] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-11-17.json
[2022-07-19 17:37:51,671] INFO: Trying to get data on 24.11.2012
[2022-07-19 17:37:59,749] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:38:04,774] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-11-24.json
[2022-07-19 17:38:04,775] INFO: Trying to get data on 01.12.2012
[2022-07-19 17:38:17,661] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 2; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:38:22,703] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-12-01.json
[2022-07-19 17:38:22,703] INFO: Trying to get data on 08.12.2012
[2022-07-19 17:38:31,649] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:38:36,666] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-12-08.json
[2022-07-19 17:38:36,667] INFO: Trying to get data on 15.12.2012
[2022-07-19 17:38:47,772] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:38:52,808] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-12-15.json
[2022-07-19 17:38:52,809] INFO: Trying to get data on 22.12.2012
[2022-07-19 17:39:01,684] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:39:06,704] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-12-22.json
[2022-07-19 17:39:06,705] INFO: Trying to get data on 29.12.2012
[2022-07-19 17:39:15,115] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:39:20,141] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-12-29.json
[2022-07-19 17:39:20,142] INFO: Trying to get data on 05.01.2013
[2022-07-19 17:39:31,737] INFO: Extracted data for stations in cities: Иркутск — 1; Усолье-Сибирское — 1
[2022-07-19 17:39:36,745] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-01-05.json
[2022-07-19 17:39:36,745] INFO: Trying to get data on 12.01.2013
[2022-07-19 17:39:44,915] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:39:49,944] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-01-12.json
[2022-07-19 17:39:49,944] INFO: Trying to get data on 19.01.2013
[2022-07-19 17:39:58,174] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:40:03,209] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-01-19.json
[2022-07-19 17:40:03,210] INFO: Trying to get data on 26.01.2013
[2022-07-19 17:40:14,169] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:40:19,198] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-01-26.json
[2022-07-19 17:40:19,198] INFO: Trying to get data on 02.02.2013
[2022-07-19 17:40:27,373] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:40:32,396] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-02-02.json
[2022-07-19 17:40:32,397] INFO: Trying to get data on 09.02.2013
[2022-07-19 17:40:40,554] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:40:45,577] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-02-09.json
[2022-07-19 17:40:45,577] INFO: Trying to get data on 16.02.2013
[2022-07-19 17:40:55,486] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:41:00,522] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-02-16.json
[2022-07-19 17:41:00,522] INFO: Trying to get data on 23.02.2013
[2022-07-19 17:41:10,062] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:41:15,086] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-02-23.json
[2022-07-19 17:41:15,088] INFO: Trying to get data on 02.03.2013
[2022-07-19 17:41:30,646] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:41:35,666] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-03-02.json
[2022-07-19 17:41:35,666] INFO: Trying to get data on 09.03.2013
[2022-07-19 17:41:43,792] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:41:48,816] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-03-09.json
[2022-07-19 17:41:48,816] INFO: Trying to get data on 16.03.2013
[2022-07-19 17:41:56,941] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:42:01,968] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-03-16.json
[2022-07-19 17:42:01,969] INFO: Trying to get data on 23.03.2013
[2022-07-19 17:42:10,261] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:42:15,282] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-03-23.json
[2022-07-19 17:42:15,282] INFO: Trying to get data on 30.03.2013
[2022-07-19 17:42:26,114] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 2; Шелехов — 1
[2022-07-19 17:42:31,153] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2013-03-30.json
[2022-07-19 17:42:31,153] INFO: Trying to get data on 06.04.2013
